time_s,frame,ch0_mv,ch1_mv,ch2_mv,ch3_mv,ch4_mv,ch5_mv,ch6_mv,ch7_mv,status
-48.275,4405471,-2473.03188,-2500,-2500,2499.9997,18.2938576,-3.84509563,2499.9997,-2.5087595,7
-48.274,4405472,-2496.5775,-2500,-2500,2499.9997,18.0897117,-3.70830297,2499.9997,-2.46554613,7
-48.273,4405473,-2500,-2500,-2500,2499.9997,18.1508064,-3.71903181,2499.9997,-2.4703145,7
-48.272,4405474,-2470.49391,-2500,-2500,2499.9997,18.2259083,-3.4865737,2499.9997,-2.40176916,7
-48.271,4405475,-2440.30803,-2500,-2500,2499.9997,18.1671977,-3.61800194,2499.9997,-2.33501196,7
-48.27,4405476,-2435.60433,-2500,-2500,2499.9997,18.0694461,-3.74168158,2499.9997,-2.14338303,7
-48.269,4405477,-2437.67738,-2500,-2500,2499.9997,18.0232525,-3.67224216,2499.9997,-2.31444836,7
-48.268,4405478,-2433.27856,-2500,-2500,2499.9997,18.1096792,-3.54796648,2499.9997,-2.42739916,7
-48.267,4405479,-2421.55433,-2500,-2500,2499.9997,18.0894136,-3.55303288,2499.9997,-2.40445137,7
-48.266,4405480,-2395.40398,-2500,-2500,2499.9997,18.0789828,-3.58879566,2499.9997,-2.51621008,7
-48.265,4405481,-2380.30225,-2500,-2500,2499.9997,17.9457664,-3.54498625,2499.9997,-2.41309404,7
-48.264,4405482,-2403.15318,-2500,-2500,2499.9997,17.8870559,-3.67254019,2499.9997,-2.39789486,7
-48.263,4405483,-2444.20439,-2500,-2500,2499.9997,17.8858638,-3.75241041,2499.9997,-2.41488218,7
-48.262,4405484,-2458.03535,-2500,-2500,2499.9997,18.0712342,-3.74287367,2499.9997,-2.2983551,7
-48.261,4405485,-2455.26403,-2500,-2500,2499.9997,17.9442763,-3.67432833,2499.9997,-2.33590603,7
-48.26,4405486,-2456.17628,-2500,-2500,2499.9997,18.0318952,-3.53783369,2499.9997,-2.24202871,7
-48.259,4405487,-2464.19609,-2500,-2500,2499.9997,17.952323,-3.58402729,2499.9997,-2.29507685,7
-48.258,4405488,-2482.83148,-2500,-2500,2499.9997,17.8560615,-3.50832939,2499.9997,-2.40385532,7
-48.257,4405489,-2500,-2500,-2500,2499.9997,17.966032,-3.52561474,2499.9997,-2.48968601,7
-48.256,4405490,-2497.1813,-2500,-2500,2499.9997,18.1600451,-3.50654125,2499.9997,-2.57372856,7
-48.255,4405491,-2460.84541,-2500,-2500,2499.9997,18.2628632,-3.54558229,2499.9997,-2.61068344,7
-48.254,4405492,-2440.1173,-2500,-2500,2499.9997,18.4836984,-3.54111195,2499.9997,-2.41339207,7
-48.253,4405493,-2439.15945,-2500,-2500,2499.9997,18.5832381,-3.45230103,2499.9997,-2.61008739,7
-48.252,4405494,-2440.00554,-2500,-2500,2499.9997,18.5829401,-3.47107649,2499.9997,-2.69293785,7
-48.251,4405495,-2432.3234,-2500,-2500,2499.9997,18.3838606,-3.76403332,2499.9997,-2.53736973,7
-48.25,4405496,-2414.97219,-2500,-2500,2499.9997,18.2914734,-3.8087368,2499.9997,-2.52336264,7
-48.249,4405497,-2385.98883,-2500,-2500,2499.9997,18.4196234,-3.65048647,2499.9997,-2.28762627,7
-48.248,4405498,-2380.24265,-2500,-2500,2499.9997,18.350184,-3.64989042,2499.9997,-2.39849091,7
-48.247,4405499,-2414.27988,-2500,-2500,2499.9997,18.2420015,-3.92496586,2499.9997,-2.60978937,7
-48.246,4405500,-2447.66831,-2500,-2500,2499.9997,18.4255838,-4.09990549,2499.9997,-2.47180462,7
-48.245,4405501,-2451.9527,-2500,-2500,2499.9997,18.3498859,-4.13030386,2499.9997,-2.35468149,7
-48.244,4405502,-2449.38612,-2500,-2500,2499.9997,18.2554126,-4.25130129,2499.9997,-2.31266022,7
-48.243,4405503,-2452.65454,-2500,-2500,2499.9997,18.0795789,-4.14550304,2499.9997,-2.31355429,7
-48.242,4405504,-2464.25688,-2500,-2500,2499.9997,17.9618597,-4.00841236,2499.9997,-2.35617161,7
-48.241,4405505,-2488.23851,-2500,-2500,2499.9997,18.0134177,-3.88741493,2499.9997,-2.48968601,7
-48.24,4405506,-2500,-2500,-2500,2499.9997,18.1302428,-3.77714634,2499.9997,-2.36958265,7
-48.239,4405507,-2487.19305,-2500,-2500,2499.9997,18.2509422,-3.70502472,2499.9997,-2.08169222,7
-48.238,4405508,-2453.82428,-2500,-2500,2499.9997,18.3963776,-3.76671553,2499.9997,-1.96784735,7
-48.237,4405509,-2443.20631,-2500,-2500,2499.9997,18.2113051,-4.00185585,2499.9997,-2.12460756,7
-48.236,4405510,-2445.45668,-2500,-2500,2499.9997,18.0128217,-3.81141901,2499.9997,-2.06381083,7
-48.235,4405511,-2441.87474,-2500,-2500,2499.9997,18.0825591,-3.77088785,2499.9997,-2.08377838,7
-48.234,4405512,-2430.74924,-2500,-2500,2499.9997,18.1102753,-3.82870436,2499.9997,-2.07453966,7
-48.233,4405513,-2408.06103,-2500,-2500,2499.9997,17.965734,-3.70293856,2499.9997,-2.10225582,7
-48.232,4405514,-2383.32361,-2500,-2500,2499.9997,17.953217,-3.45677137,2499.9997,-1.99973583,7
-48.231,4405515,-2392.78257,-2500,-2500,2499.9997,17.7550316,-3.38464975,2499.9997,-1.97350979,7
-48.23,4405516,-2431.90259,-2500,-2500,2499.9997,17.8745389,-3.32504511,2499.9997,-1.83820724,7
-48.229,4405517,-2454.41258,-2500,-2500,2499.9997,18.0613995,-3.35782766,2499.9997,-1.62661076,7
-48.228,4405518,-2453.56798,-2500,-2500,2499.9997,17.9716945,-3.42041254,2499.9997,-1.63704157,7
-48.227,4405519,-2451.25622,-2500,-2500,2499.9997,17.9433823,-3.48001719,2499.9997,-1.70767307,7
-48.226,4405520,-2455.374,-2500,-2500,2499.9997,17.9067254,-3.55154276,2499.9997,-1.77681446,7
-48.225,4405521,-2469.39778,-2500,-2500,2499.9997,17.9034472,-3.57180834,2499.9997,-1.88231468,7
-48.224,4405522,-2493.49833,-2500,-2500,2499.9997,17.927289,-3.50296497,2499.9997,-1.62541866,7
-48.223,4405523,-2499.27521,-2500,-2500,2499.9997,18.0411339,-3.3646822,2499.9997,-1.74552202,7
-48.222,4405524,-2469.74021,-2500,-2500,2499.9997,18.0867314,-3.52799892,2499.9997,-1.54793262,7
-48.221,4405525,-2442.52473,-2500,-2500,2499.9997,17.9591775,-3.48925591,2499.9997,-1.54972076,7
-48.22,4405526,-2439.04024,-2500,-2500,2499.9997,17.6891685,-3.47673893,2499.9997,-1.50620937,7
-48.219,4405527,-2443.35324,-2500,-2500,2499.9997,17.6796317,-3.46779823,2499.9997,-1.58041716,7
-48.218,4405528,-2439.95667,-2500,-2500,2499.9997,17.6683068,-3.28242779,2499.9997,-1.41888857,7
-48.217,4405529,-2428.09534,-2500,-2500,2499.9997,17.708838,-3.58432531,2499.9997,-1.39206648,7
-48.216,4405530,-2400.1804,-2500,-2500,2499.9997,17.8167224,-3.61382961,2499.9997,-1.24663115,7
-48.215,4405531,-2383.62759,-2500,-2500,2499.9997,17.7121162,-3.5610795,2499.9997,-1.09910965,7
-48.214,4405532,-2407.24981,-2500,-2500,2499.9997,17.7913904,-3.6495924,2499.9997,-0.996887684,7
-48.213,4405533,-2446.75577,-2500,-2500,2499.9997,18.0438161,-3.59505415,2499.9997,-1.00165606,7
-48.212,4405534,-2459.99575,-2500,-2500,2499.9997,18.0393457,-3.68028879,2499.9997,-0.945031643,7
-48.211,4405535,-2457.44407,-2500,-2500,2499.9997,17.9725885,-3.49462032,2499.9997,-0.937283039,7
-48.21,4405536,-2455.8872,-2500,-2500,2499.9997,17.9767609,-3.23057175,2499.9997,-1.07675791,7
-48.209,4405537,-2461.71325,-2500,-2500,2499.9997,18.1463361,-3.46839428,2499.9997,-1.15424395,7
-48.208,4405538,-2479.60746,-2500,-2500,2499.9997,18.1758404,-3.56763601,2499.9997,-1.3178587,7
-48.207,4405539,-2499.64297,-2500,-2500,2499.9997,18.1117654,-3.67939472,2499.9997,-1.10566616,7
-48.206,4405540,-2490.60303,-2500,-2500,2499.9997,18.1895494,-3.7753582,2499.9997,-1.08838081,7
-48.205,4405541,-2455.04171,-2500,-2500,2499.9997,18.1913376,-3.65197659,2499.9997,-1.24394894,7
-48.204,4405542,-2435.90146,-2500,-2500,2499.9997,18.1415677,-3.82333994,2499.9997,-1.0690093,7
-48.203,4405543,-2436.11038,-2500,-2500,2499.9997,17.9135799,-3.77744436,2499.9997,-1.09136105,7
-48.202,4405544,-2436.78778,-2500,-2500,2499.9997,17.965436,-3.85522842,2499.9997,-1.03443861,7
-48.201,4405545,-2429.56936,-2500,-2500,2499.9997,17.8000331,-3.91274691,2499.9997,-0.644028187,7
-48.2,4405546,-2414.18362,-2500,-2500,2499.9997,17.9621577,-3.86863947,2499.9997,-0.554323196,7
-48.199,4405547,-2388.58134,-2500,-2500,2499.9997,17.8071856,-3.78251076,2499.9997,-0.52511692,7
-48.198,4405548,-2386.35659,-2500,-2500,2499.9997,17.6137686,-3.70740891,2499.9997,-0.68962574,7
-48.197,4405549,-2420.74281,-2500,-2500,2499.9997,17.8906322,-3.67820263,2499.9997,-0.755786896,7
-48.196,4405550,-2453.28069,-2500,-2500,2499.9997,17.8459287,-3.68714333,2499.9997,-0.705718994,7
-48.195,4405551,-2458.03803,-2500,-2500,2499.9997,17.6647305,-3.64512205,2499.9997,-0.594258308,7
-48.194,4405552,-2455.24347,-2500,-2500,2499.9997,17.6638365,-3.72707844,2499.9997,-0.422000885,7
-48.193,4405553,-2459.32192,-2500,-2500,2499.9997,17.7901983,-3.67820263,2499.9997,-0.36418438,7
-48.192,4405554,-2471.68601,-2500,-2500,2499.9997,17.9493427,-3.71158123,2499.9997,-0.40858984,7
-48.191,4405555,-2494.89903,-2500,-2500,2499.9997,18.0673599,-3.60697508,2499.9997,-0.506639481,7
-48.19,4405556,-2500,-2500,-2500,2499.9997,18.1987882,-3.63975763,2499.9997,-0.674724579,7
-48.189,4405557,-2487.60194,-2500,-2500,2499.9997,18.158257,-3.5277009,2499.9997,-0.977218151,7
-48.188,4405558,-2450.94538,-2500,-2500,2499.9997,18.1803107,-3.60190868,2499.9997,-1.06692314,7
-48.187,4405559,-2439.34214,-2500,-2500,2499.9997,18.1514025,-3.6740303,2499.9997,-0.987648964,7
-48.186,4405560,-2442.1823,-2500,-2500,2499.9997,18.2437897,-3.68982553,2499.9997,-1.06394291,7
-48.185,4405561,-2438.64328,-2500,-2500,2499.9997,18.2908773,-3.68446112,2499.9997,-1.07944012,7
-48.184,4405562,-2428.14124,-2500,-2500,2499.9997,18.0780888,-3.80784273,2499.9997,-1.11371279,7
-48.183,4405563,-2404.59979,-2500,-2500,2499.9997,18.1356072,-3.67999077,2499.9997,-1.20520592,7
-48.182,4405564,-2379.40371,-2500,-2500,2499.9997,18.1347132,-3.52650881,2499.9997,-1.26451254,7
-48.181,4405565,-2389.68432,-2500,-2500,2499.9997,18.3722377,-3.47018242,2499.9997,-1.33067369,7
-48.18,4405566,-2429.79646,-2500,-2500,2499.9997,18.3677673,-3.5905838,2499.9997,-1.30712986,7
-48.179,4405567,-2451.21688,-2500,-2500,2499.9997,18.4419751,-3.49104404,2499.9997,-1.36256218,7
-48.178,4405568,-2450.59818,-2500,-2500,2499.9997,18.3388591,-3.60935926,2499.9997,-1.5181303,7
-48.177,4405569,-2449.98574,-2500,-2500,2499.9997,18.3311105,-3.64631414,2499.9997,-1.68830156,7
-48.176,4405570,-2455.0128,-2500,-2500,2499.9997,18.1379914,-3.69638205,2499.9997,-1.56641006,7
-48.175,4405571,-2471.23003,-2500,-2500,2499.9997,18.0721283,-3.53991985,2499.9997,-1.46299601,7
-48.174,4405572,-2497.92427,-2500,-2500,2499.9997,18.2810426,-3.62843275,2499.9997,-1.26302242,7
-48.173,4405573,-2500,-2500,-2500,2499.9997,18.5102224,-3.68028879,2499.9997,-1.19745731,7
-48.172,4405574,-2473.30964,-2500,-2500,2499.9997,18.4187293,-3.7971139,2499.9997,-1.37209892,7
-48.171,4405575,-2445.86617,-2500,-2500,2499.9997,18.3701515,-3.7291646,2499.9997,-1.31547451,7
-48.17,4405576,-2441.81752,-2500,-2500,2499.9997,18.2881951,-3.68565321,2499.9997,-1.29699707,7
-48.169,4405577,-2442.91961,-2500,-2500,2499.9997,18.1919336,-3.77029181,2499.9997,-1.39832497,7
-48.168,4405578,-2437.52539,-2500,-2500,2499.9997,18.2008743,-3.7497282,2499.9997,-1.33723021,7
-48.167,4405579,-2424.38078,-2500,-2500,2499.9997,18.2458758,-3.67581844,2499.9997,-1.39802694,7
-48.166,4405580,-2396.2158,-2500,-2500,2499.9997,18.3963776,-3.68028879,2499.9997,-1.28448009,7
-48.165,4405581,-2380.12433,-2500,-2500,2499.9997,18.3019042,-3.68535519,2499.9997,-1.26719475,7
-48.164,4405582,-2404.69396,-2500,-2500,2499.9997,18.1505084,-3.62098217,2499.9997,-1.25855207,7
-48.163,4405583,-2441.7299,-2500,-2500,2499.9997,18.2619691,-3.5315752,2499.9997,-1.40577555,7
-48.162,4405584,-2452.72934,-2500,-2500,2499.9997,18.2804465,-3.63379717,2499.9997,-1.32232904,7
-48.161,4405585,-2448.017,-2500,-2500,2499.9997,18.1159377,-3.60399485,2499.9997,-1.30027533,7
-48.16,4405586,-2447.77411,-2500,-2500,2499.9997,18.0065632,-3.51518393,2499.9997,-1.31368637,7
-48.159,4405587,-2455.61838,-2500,-2500,2499.9997,18.107295,-3.55243683,2499.9997,-1.23649836,7
-48.158,4405588,-2475.74508,-2500,-2500,2499.9997,18.3838606,-3.49491835,2499.9997,-1.3050437,7
-48.157,4405589,-2496.5629,-2500,-2500,2499.9997,18.3904171,-3.516078,2499.9997,-1.13844872,7
