time_s,frame,ch0_mv,ch1_mv,ch2_mv,status
-59.772,428015,-2333.81808,1183.63678,-1683.72661,1
-59.771,428016,-2367.72746,1180.84252,-1686.96672,1
-59.77,428017,-2389.0081,1179.31455,-1686.67912,1
-59.769,428018,-2389.51504,1177.13809,-1684.23712,1
-59.768,428019,-2386.99734,1178.21008,-1683.44736,1
-59.767,428020,-2390.22881,1178.51377,-1682.67787,1
-59.766,428021,-2400.16788,1175.29094,-1682.57087,1
-59.765,428022,-2420.81285,1172.17094,-1682.38699,1
-59.764,428023,-2425.38452,1170.8191,-1679.86184,1
-59.763,428024,-2400.28977,1171.35823,-1675.85701,1
-59.762,428025,-2375.09847,1173.88725,-1675.33308,1
-59.761,428026,-2371.76746,1176.55843,-1677.62667,1
-59.76,428027,-2372.43861,1176.48333,-1679.56322,1
-59.759,428028,-2369.5004,1176.82964,-1680.85247,1
-59.758,428029,-2360.34065,1177.34611,-1681.45806,1
-59.757,428030,-2339.31512,1180.5886,-1680.10026,1
-59.756,428031,-2324.06855,1183.53218,-1682.06006,1
-59.755,428032,-2342.19968,1183.60251,-1685.17202,1
-59.754,428033,-2376.76024,1180.91524,-1688.07894,1
-59.753,428034,-2390.30868,1178.80374,-1686.27888,1
-59.752,428035,-2389.66197,1178.31469,-1684.38464,1
-59.751,428036,-2389.03046,1178.18356,-1684.2553,1
-59.75,428037,-2394.30249,1177.48439,-1683.53766,1
-59.749,428038,-2411.3816,1175.02958,-1683.33352,1
-59.748,428039,-2427.84917,1171.71675,-1683.97278,1
-59.747,428040,-2422.55956,1171.86874,-1679.8678,1
-59.746,428041,-2393.74071,1172.80185,-1675.84181,1
-59.745,428042,-2376.15138,1176.67228,-1675.33755,1
-59.744,428043,-2374.80909,1177.85215,-1676.92989,1
-59.743,428044,-2377.36821,1176.34803,-1678.69806,1
-59.742,428045,-2371.08171,1176.2014,-1680.66055,1
-59.741,428046,-2356.94915,1177.67423,-1679.61717,1
-59.74,428047,-2332.84563,1181.74016,-1679.47173,1
-59.739,428048,-2328.12464,1181.8698,-1682.38521,1
-59.738,428049,-2355.50433,1179.85547,-1687.1646,1
-59.737,428050,-2382.88522,1178.33495,-1687.06477,1
-59.736,428051,-2387.82138,1176.17458,-1685.41849,1
-59.735,428052,-2386.91539,1177.09279,-1685.21672,1
-59.734,428053,-2390.3963,1177.69122,-1684.10778,1
-59.733,428054,-2398.04924,1176.04852,-1682.60783,1
-59.732,428055,-2417.82278,1172.7187,-1682.71273,1
-59.731,428056,-2432.28227,1171.86248,-1682.06513,1
-59.73,428057,-2414.15888,1173.43396,-1678.14702,1
-59.729,428058,-2384.817,1174.9962,-1676.18752,1
-59.728,428059,-2374.11499,1176.46426,-1676.72545,1
-59.727,428060,-2375.60928,1177.10054,-1677.095,1
-59.726,428061,-2374.2795,1176.82368,-1679.53789,1
-59.725,428062,-2367.80196,1178.08282,-1681.45299,1
-59.724,428063,-2350.15541,1180.17167,-1680.3053,1
-59.723,428064,-2329.92917,1181.48953,-1679.27027,1
-59.722,428065,-2336.91633,1182.0212,-1684.18765,1
-59.721,428066,-2369.35139,1181.20551,-1688.4166,1
-59.72,428067,-2388.14235,1177.68437,-1686.46514,1
-59.719,428068,-2387.69799,1174.90441,-1684.80098,1
-59.718,428069,-2385.6312,1176.17995,-1684.42994,1
-59.717,428070,-2390.18559,1176.55218,-1683.2599,1
-59.716,428071,-2402.67068,1174.17395,-1683.48372,1
-59.715,428072,-2422.77831,1171.86159,-1683.89887,1
-59.714,428073,-2426.83768,1171.17047,-1681.06526,1
-59.713,428074,-2400.66648,1172.87964,-1676.34666,1
-59.712,428075,-2377.15095,1175.24326,-1673.69127,1
-59.711,428076,-2373.83962,1177.50704,-1675.98784,1
-59.71,428077,-2376.05184,1178.14779,-1678.47276,1
-59.709,428078,-2374.21244,1177.24746,-1679.18354,1
-59.708,428079,-2364.53682,1178.80642,-1680.07851,1
-59.707,428080,-2340.49857,1181.80782,-1679.34358,1
-59.706,428081,-2326.28882,1182.66881,-1681.16987,1
-59.705,428082,-2346.92454,1181.18614,-1684.37243,1
-59.704,428083,-2380.77134,1179.6397,-1687.77794,1
-59.703,428084,-2392.56144,1177.7702,-1687.25163,1
-59.702,428085,-2390.05178,1177.61105,-1684.40521,1
-59.701,428086,-2390.56736,1177.9061,-1683.35736,1
-59.7,428087,-2395.10387,1176.83709,-1682.70886,1
-59.699,428088,-2410.52598,1173.75493,-1683.0197,1
-59.698,428089,-2427.72549,1170.96573,-1682.86562,1
-59.697,428090,-2420.22157,1171.34064,-1680.25941,1
-59.696,428091,-2391.32583,1173.58774,-1676.62174,1
-59.695,428092,-2375.05406,1175.30465,-1677.36948,1
-59.694,428093,-2373.91621,1177.40571,-1678.65515,1
-59.693,428094,-2374.77988,1176.87315,-1680.10384,1
-59.692,428095,-2368.9568,1177.24746,-1681.1803,1
-59.691,428096,-2354.32297,1178.89524,-1680.68945,1
-59.69,428097,-2330.53058,1182.02627,-1680.86022,1
-59.689,428098,-2328.86463,1181.60456,-1683.69025,1
-59.688,428099,-2360.29595,1181.26601,-1688.07387,1
-59.687,428100,-2386.77889,1179.30651,-1688.32213,1
-59.686,428101,-2391.7076,1176.68986,-1685.68432,1
-59.685,428102,-2390.56438,1177.257,-1683.65031,1
-59.684,428103,-2391.68465,1177.6787,-1683.54183,1
-59.683,428104,-2399.6982,1175.45247,-1682.58429,1
